incident_id,timestamp,date,time_window,day_type,lat,lng,zone_id,incident_type,num_injured,num_critical,num_fatalities,severity_category,severity_numeric,response_time_minutes,transport_time_minutes,weather_condition,road_condition,was_night_time
INC_000013,2024-12-09T22:35:52.287981,2024-12-09,18:00-24:00,WEEKDAY,22.733791,88.288977,ZONE_009,TRAUMA_OTHER,3,1,0,CRITICAL,4,17.25,12.84,CLEAR,DRY,True
INC_000014,2024-12-10T13:01:09.287981,2024-12-10,12:00-18:00,WEEKDAY,22.339425,88.276277,ZONE_014,FIRE,1,0,0,MED,2,23.44,27.24,CLEAR,WET,False
INC_000015,2024-12-10T00:56:24.287981,2024-12-10,00:00-06:00,WEEKDAY,22.6982,88.284284,ZONE_005,RESPIRATORY_DISTRESS,1,0,0,MED,2,8.08,9.71,FOG,DRY,True
INC_000016,2024-12-09T22:16:04.287981,2024-12-09,18:00-24:00,WEEKDAY,22.701887,88.279794,ZONE_005,RESPIRATORY_DISTRESS,1,1,0,CRITICAL,4,12.18,6.05,FOG,DRY,True
INC_000017,2024-12-10T12:45:45.287981,2024-12-10,12:00-18:00,WEEKDAY,22.403458,88.390633,ZONE_011,CARDIAC_EMERGENCY,1,0,0,LOW,1,18.42,33.76,CLEAR,DRY,False
INC_000018,2024-12-11T02:27:59.287981,2024-12-11,00:00-06:00,WEEKDAY,22.77983,88.500252,ZONE_017,TRAUMA_OTHER,4,0,0,HIGH,3,12.81,11.61,CLEAR,WET,True
INC_000019,2024-12-10T22:27:04.287981,2024-12-10,18:00-24:00,WEEKDAY,22.332904,88.274642,ZONE_014,ROAD_ACCIDENT,1,0,0,LOW,1,14.2,35.18,CLEAR,DRY,True
INC_000020,2024-12-11T13:06:13.287981,2024-12-11,12:00-18:00,WEEKDAY,22.722461,88.452158,ZONE_012,FIRE,1,0,0,MED,2,5.94,22.8,FOG,DRY,False
INC_000021,2024-12-11T18:29:04.287981,2024-12-11,18:00-24:00,WEEKDAY,22.340457,88.279852,ZONE_014,FIRE,2,1,1,FATAL,5,15.63,9.92,FOG,DRY,False
INC_000022,2024-12-11T00:02:34.287981,2024-12-11,00:00-06:00,WEEKDAY,22.574254,88.529535,ZONE_007,FIRE,1,0,0,MED,2,23.74,28.15,CLEAR,DRY,True
INC_000023,2024-12-11T01:03:54.287981,2024-12-11,00:00-06:00,WEEKDAY,22.490285,88.301303,ZONE_008,ROAD_ACCIDENT,1,0,0,MED,2,24.12,33.69,RAIN,DRY,True
INC_000024,2024-12-11T12:36:13.287981,2024-12-11,12:00-18:00,WEEKDAY,22.703826,88.278491,ZONE_005,ROAD_ACCIDENT,1,0,0,MED,2,18.38,17.09,CLEAR,DRY,False
INC_000025,2024-12-10T23:00:38.287981,2024-12-10,18:00-24:00,WEEKDAY,22.578636,88.529778,ZONE_007,FIRE,1,0,0,MED,2,7.5,32.74,RAIN,DAMAGED,True
INC_000026,2024-12-11T20:13:54.287981,2024-12-11,18:00-24:00,WEEKDAY,22.683318,88.162416,ZONE_013,CARDIAC_EMERGENCY,3,1,0,CRITICAL,4,10.19,19.59,CLEAR,WET,True
INC_000027,2024-12-11T09:38:18.287981,2024-12-11,06:00-12:00,WEEKDAY,22.705663,88.560048,ZONE_003,CARDIAC_EMERGENCY,1,0,0,MED,2,5.06,15.29,CLEAR,DRY,False
INC_000028,2024-12-11T19:06:37.287981,2024-12-11,18:00-24:00,WEEKDAY,22.734915,88.30286,ZONE_009,TRAUMA_OTHER,2,1,1,FATAL,5,14.05,11.71,RAIN,WET,False
INC_000029,2024-12-11T14:24:30.287981,2024-12-11,12:00-18:00,WEEKDAY,22.734068,88.303464,ZONE_009,TRAUMA_OTHER,1,0,0,LOW,1,5.53,30.51,RAIN,DAMAGED,False
INC_000030,2024-12-11T02:46:31.287981,2024-12-11,00:00-06:00,WEEKDAY,22.358065,88.255061,ZONE_010,ROAD_ACCIDENT,1,0,0,LOW,1,19.29,8.55,CLEAR,DRY,True
INC_000031,2024-12-11T10:02:53.287981,2024-12-11,06:00-12:00,WEEKDAY,22.729538,88.290755,ZONE_009,FIRE,1,0,0,MED,2,6.86,14.1,RAIN,DRY,False
INC_000032,2024-12-11T16:22:36.287981,2024-12-11,12:00-18:00,WEEKDAY,22.570052,88.545898,ZONE_007,CARDIAC_EMERGENCY,3,0,0,HIGH,3,13.79,13.22,CLEAR,DRY,False
INC_000033,2024-12-12T12:57:17.287981,2024-12-12,12:00-18:00,WEEKDAY,22.689414,88.475765,ZONE_019,CARDIAC_EMERGENCY,2,1,0,CRITICAL,4,19.2,5.01,CLEAR,DRY,False
INC_000034,2024-12-12T12:05:26.287981,2024-12-12,12:00-18:00,WEEKDAY,22.392074,88.389033,ZONE_011,FIRE,1,0,0,MED,2,13.43,32.21,CLEAR,WET,False
INC_000035,2024-12-11T23:15:51.287981,2024-12-11,18:00-24:00,WEEKDAY,22.6836,88.147793,ZONE_013,TRAUMA_OTHER,1,0,0,MED,2,16.37,27.33,CLEAR,DRY,True
INC_000036,2024-12-12T08:11:57.287981,2024-12-12,06:00-12:00,WEEKDAY,22.705622,88.554163,ZONE_003,CARDIAC_EMERGENCY,2,1,1,FATAL,5,13.44,12.0,CLEAR,DRY,False
INC_000037,2024-12-12T12:17:29.287981,2024-12-12,12:00-18:00,WEEKDAY,22.568946,88.543554,ZONE_007,FIRE,1,0,0,LOW,1,5.95,12.78,RAIN,WET,False
INC_000038,2024-12-12T17:57:19.287981,2024-12-12,12:00-18:00,WEEKDAY,22.747704,88.293672,ZONE_009,RESPIRATORY_DISTRESS,3,0,0,HIGH,3,6.49,34.08,CLEAR,WET,False
INC_000039,2024-12-11T22:27:22.287981,2024-12-11,18:00-24:00,WEEKDAY,22.626026,88.338507,ZONE_018,ROAD_ACCIDENT,1,0,0,LOW,1,5.71,34.94,CLEAR,DAMAGED,True
INC_000040,2024-12-11T22:44:55.287981,2024-12-11,18:00-24:00,WEEKDAY,22.335623,88.566314,ZONE_006,RESPIRATORY_DISTRESS,3,0,0,HIGH,3,18.24,27.5,CLEAR,WET,True
INC_000041,2024-12-12T20:51:37.287981,2024-12-12,18:00-24:00,WEEKDAY,22.356069,88.249497,ZONE_010,FIRE,1,0,0,LOW,1,21.06,9.76,RAIN,DAMAGED,True
INC_000042,2024-12-12T07:53:40.287981,2024-12-12,06:00-12:00,WEEKDAY,22.578317,88.390605,ZONE_020,CARDIAC_EMERGENCY,1,0,0,MED,2,21.89,23.67,RAIN,DAMAGED,False
INC_000043,2024-12-12T00:14:11.287981,2024-12-12,00:00-06:00,WEEKDAY,22.409308,88.390591,ZONE_011,TRAUMA_OTHER,2,0,0,HIGH,3,15.39,25.89,RAIN,DRY,True
INC_000044,2024-12-12T13:25:54.287981,2024-12-12,12:00-18:00,WEEKDAY,22.730251,88.451309,ZONE_012,TRAUMA_OTHER,1,0,0,MED,2,12.43,33.28,CLEAR,DAMAGED,False
INC_000045,2024-12-12T07:14:54.287981,2024-12-12,06:00-12:00,WEEKDAY,22.662839,88.182297,ZONE_004,TRAUMA_OTHER,3,0,0,HIGH,3,8.97,6.39,CLEAR,DRY,False
INC_000046,2024-12-12T14:46:16.287981,2024-12-12,12:00-18:00,WEEKDAY,22.367833,88.558441,ZONE_016,FIRE,1,1,0,CRITICAL,4,8.93,9.75,RAIN,DRY,False
INC_000047,2024-12-13T14:40:19.287981,2024-12-13,12:00-18:00,WEEKDAY,22.586296,88.54269,ZONE_007,TRAUMA_OTHER,1,0,0,MED,2,11.31,26.17,RAIN,DAMAGED,False
INC_000048,2024-12-13T06:38:13.287981,2024-12-13,06:00-12:00,WEEKDAY,22.57439,88.537189,ZONE_007,FIRE,1,0,0,LOW,1,19.26,6.85,CLEAR,DRY,False
INC_000049,2024-12-13T10:20:09.287981,2024-12-13,06:00-12:00,WEEKDAY,22.747068,88.288464,ZONE_009,FIRE,4,0,0,HIGH,3,19.89,11.26,CLEAR,DRY,False
INC_000050,2024-12-13T15:25:09.287981,2024-12-13,12:00-18:00,WEEKDAY,22.685182,88.149006,ZONE_013,RESPIRATORY_DISTRESS,1,0,0,MED,2,5.1,10.45,CLEAR,DAMAGED,False
INC_000051,2024-12-13T15:17:04.287981,2024-12-13,12:00-18:00,WEEKDAY,22.620017,88.324487,ZONE_018,RESPIRATORY_DISTRESS,4,0,0,HIGH,3,12.93,6.65,CLEAR,WET,False
INC_000052,2024-12-13T00:06:49.287981,2024-12-13,00:00-06:00,WEEKDAY,22.409087,88.380958,ZONE_011,ROAD_ACCIDENT,1,0,0,LOW,1,19.27,17.34,CLEAR,DRY,True
INC_000053,2024-12-13T16:51:41.287981,2024-12-13,12:00-18:00,WEEKDAY,22.680025,88.163787,ZONE_013,RESPIRATORY_DISTRESS,3,0,0,HIGH,3,18.31,6.14,CLEAR,WET,False
INC_000054,2024-12-13T04:16:02.287981,2024-12-13,00:00-06:00,WEEKDAY,22.728358,88.463112,ZONE_012,RESPIRATORY_DISTRESS,1,0,0,HIGH,3,11.96,27.72,CLEAR,WET,True
INC_000055,2024-12-13T16:43:16.287981,2024-12-13,12:00-18:00,WEEKDAY,22.672341,88.146783,ZONE_013,FIRE,1,0,0,HIGH,3,16.17,39.19,CLEAR,WET,False
INC_000056,2024-12-13T15:39:58.287981,2024-12-13,12:00-18:00,WEEKDAY,22.674535,88.159438,ZONE_013,ROAD_ACCIDENT,2,0,0,HIGH,3,11.98,16.52,CLEAR,WET,False
INC_000057,2024-12-13T01:09:32.287981,2024-12-13,00:00-06:00,WEEKDAY,22.77843,88.499147,ZONE_017,RESPIRATORY_DISTRESS,1,0,0,LOW,1,10.14,29.23,CLEAR,DRY,True
INC_000058,2024-12-12T23:54:02.287981,2024-12-12,18:00-24:00,WEEKDAY,22.716705,88.55166,ZONE_003,RESPIRATORY_DISTRESS,4,1,0,CRITICAL,4,25.28,19.51,CLEAR,WET,True
INC_000059,2024-12-13T15:22:41.287981,2024-12-13,12:00-18:00,WEEKDAY,22.638494,88.202493,ZONE_015,CARDIAC_EMERGENCY,1,0,0,MED,2,6.26,26.2,CLEAR,WET,False
INC_000060,2024-12-13T11:10:00.287981,2024-12-13,06:00-12:00,WEEKDAY,22.328876,88.55103,ZONE_006,FIRE,3,1,0,CRITICAL,4,16.97,26.17,CLEAR,DAMAGED,False
INC_000061,2024-12-12T22:09:18.287981,2024-12-12,18:00-24:00,WEEKDAY,22.70931,88.292399,ZONE_005,FIRE,1,0,0,MED,2,19.0,24.53,RAIN,DRY,True
INC_000062,2024-12-13T04:04:08.287981,2024-12-13,00:00-06:00,WEEKDAY,22.721315,88.462161,ZONE_012,RESPIRATORY_DISTRESS,4,0,0,HIGH,3,21.15,14.44,RAIN,WET,True
INC_000063,2024-12-14T11:13:58.287981,2024-12-14,06:00-12:00,WEEKDAY,22.356109,88.167159,ZONE_001,TRAUMA_OTHER,4,1,0,CRITICAL,4,17.0,9.53,RAIN,DRY,False
INC_000064,2024-12-14T12:03:19.287981,2024-12-14,12:00-18:00,WEEKDAY,22.727843,88.455266,ZONE_012,TRAUMA_OTHER,1,0,0,MED,2,9.7,15.17,FOG,DRY,False
INC_000065,2024-12-14T12:05:30.287981,2024-12-14,12:00-18:00,WEEKDAY,22.728204,88.465936,ZONE_012,TRAUMA_OTHER,1,0,0,MED,2,6.26,21.3,RAIN,DRY,False
INC_000066,2024-12-14T03:01:33.287981,2024-12-14,00:00-06:00,WEEKDAY,22.653055,88.178783,ZONE_004,FIRE,3,1,1,FATAL,5,11.28,14.39,CLEAR,DRY,True
INC_000067,2024-12-14T07:42:11.287981,2024-12-14,06:00-12:00,WEEKDAY,22.649994,88.178907,ZONE_004,CARDIAC_EMERGENCY,2,1,0,CRITICAL,4,14.38,10.55,CLEAR,DAMAGED,False
INC_000068,2024-12-14T02:46:20.287981,2024-12-14,00:00-06:00,WEEKDAY,22.333684,88.26714,ZONE_014,ROAD_ACCIDENT,1,0,0,MED,2,6.67,36.95,CLEAR,DRY,True
INC_000069,2024-12-14T17:09:12.287981,2024-12-14,12:00-18:00,WEEKDAY,22.578117,88.539692,ZONE_007,FIRE,4,0,0,HIGH,3,22.82,13.31,CLEAR,WET,False
INC_000070,2024-12-14T01:33:19.287981,2024-12-14,00:00-06:00,WEEKDAY,22.338806,88.279887,ZONE_014,ROAD_ACCIDENT,3,0,0,HIGH,3,13.66,30.39,CLEAR,DAMAGED,True
INC_000071,2024-12-14T02:07:58.287981,2024-12-14,00:00-06:00,WEEKDAY,22.715893,88.45237,ZONE_012,RESPIRATORY_DISTRESS,1,0,0,MED,2,24.79,25.56,FOG,DRY,True
INC_000072,2024-12-14T02:41:03.287981,2024-12-14,00:00-06:00,WEEKDAY,22.738991,88.290306,ZONE_009,ROAD_ACCIDENT,1,0,0,LOW,1,17.56,29.53,CLEAR,DAMAGED,True
INC_000073,2024-12-14T11:39:07.287981,2024-12-14,06:00-12:00,WEEKDAY,22.677294,88.472167,ZONE_019,FIRE,4,0,0,HIGH,3,23.39,39.83,CLEAR,WET,False
INC_000074,2024-12-14T06:03:26.287981,2024-12-14,06:00-12:00,WEEKDAY,22.781745,88.497286,ZONE_017,FIRE,2,0,0,HIGH,3,5.18,29.91,CLEAR,DAMAGED,False
INC_000075,2024-12-14T07:54:50.287981,2024-12-14,06:00-12:00,WEEKDAY,22.5006,88.300917,ZONE_008,RESPIRATORY_DISTRESS,1,0,0,MED,2,6.44,24.06,CLEAR,WET,False
INC_000076,2024-12-14T20:05:49.287981,2024-12-14,18:00-24:00,WEEKDAY,22.33927,88.152794,ZONE_001,FIRE,1,0,0,MED,2,19.97,21.37,CLEAR,DAMAGED,True
INC_000077,2024-12-14T14:55:30.287981,2024-12-14,12:00-18:00,WEEKDAY,22.57723,88.534587,ZONE_007,ROAD_ACCIDENT,1,0,0,LOW,1,12.17,37.4,CLEAR,DAMAGED,False
INC_000078,2024-12-14T16:05:23.287981,2024-12-14,12:00-18:00,WEEKDAY,22.730247,88.285842,ZONE_009,CARDIAC_EMERGENCY,1,0,0,MED,2,14.0,18.56,CLEAR,DRY,False
INC_000079,2024-12-15T09:00:02.287981,2024-12-15,06:00-12:00,WEEKEND,22.716184,88.455445,ZONE_012,FIRE,2,1,0,CRITICAL,4,19.31,18.22,CLEAR,DAMAGED,False
INC_000080,2024-12-15T10:14:05.287981,2024-12-15,06:00-12:00,WEEKEND,22.343886,88.284574,ZONE_014,RESPIRATORY_DISTRESS,1,0,0,MED,2,13.66,27.83,RAIN,DRY,False
INC_000081,2024-12-15T14:11:12.287981,2024-12-15,12:00-18:00,WEEKEND,22.650678,88.178981,ZONE_004,FIRE,3,1,1,FATAL,5,15.18,16.21,RAIN,DAMAGED,False
INC_000082,2024-12-15T13:52:34.287981,2024-12-15,12:00-18:00,WEEKEND,22.735137,88.305307,ZONE_009,ROAD_ACCIDENT,1,0,0,LOW,1,10.19,33.12,CLEAR,DRY,False
INC_000083,2024-12-15T20:41:15.287981,2024-12-15,18:00-24:00,WEEKEND,22.337131,88.55521,ZONE_006,FIRE,1,0,0,LOW,1,10.53,19.05,CLEAR,WET,True
INC_000084,2024-12-15T17:24:32.287981,2024-12-15,12:00-18:00,WEEKEND,22.576021,88.547044,ZONE_007,CARDIAC_EMERGENCY,1,0,0,HIGH,3,9.64,31.91,CLOUDY,WET,False
INC_000085,2024-12-15T00:15:37.287981,2024-12-15,00:00-06:00,WEEKEND,22.407652,88.375449,ZONE_011,RESPIRATORY_DISTRESS,1,0,0,MED,2,20.31,24.02,CLEAR,DRY,True
INC_000086,2024-12-14T22:55:00.287981,2024-12-14,18:00-24:00,WEEKEND,22.670909,88.154639,ZONE_013,RESPIRATORY_DISTRESS,1,0,0,LOW,1,15.35,6.43,FOG,DAMAGED,True
INC_000087,2024-12-15T10:29:52.287981,2024-12-15,06:00-12:00,WEEKEND,22.71893,88.54584,ZONE_003,FIRE,1,0,0,LOW,1,18.77,7.31,CLEAR,DAMAGED,False
INC_000088,2024-12-15T14:23:13.287981,2024-12-15,12:00-18:00,WEEKEND,22.65692,88.176956,ZONE_004,FIRE,1,0,0,MED,2,12.85,26.97,CLEAR,DAMAGED,False
INC_000089,2024-12-15T04:40:30.287981,2024-12-15,00:00-06:00,WEEKEND,22.584164,88.528269,ZONE_007,TRAUMA_OTHER,3,1,0,CRITICAL,4,10.42,9.79,RAIN,WET,True
INC_000090,2024-12-15T01:30:07.287981,2024-12-15,00:00-06:00,WEEKEND,22.671071,88.146893,ZONE_013,CARDIAC_EMERGENCY,3,0,0,HIGH,3,7.13,20.33,CLEAR,DRY,True
INC_000091,2024-12-15T10:22:11.287981,2024-12-15,06:00-12:00,WEEKEND,22.782794,88.508925,ZONE_017,ROAD_ACCIDENT,4,0,0,HIGH,3,24.11,32.07,CLEAR,DRY,False
INC_000092,2024-12-16T04:02:00.287981,2024-12-16,00:00-06:00,WEEKEND,22.744873,88.305007,ZONE_009,CARDIAC_EMERGENCY,2,0,0,HIGH,3,13.86,26.9,CLEAR,WET,True
INC_000093,2024-12-16T07:09:23.287981,2024-12-16,06:00-12:00,WEEKEND,22.586084,88.539241,ZONE_007,CARDIAC_EMERGENCY,4,1,0,CRITICAL,4,12.89,10.54,CLEAR,DRY,False
INC_000094,2024-12-16T20:24:47.287981,2024-12-16,18:00-24:00,WEEKEND,22.57029,88.540366,ZONE_007,ROAD_ACCIDENT,4,0,0,HIGH,3,18.61,27.54,CLEAR,DRY,True
INC_000095,2024-12-16T04:31:43.287981,2024-12-16,00:00-06:00,WEEKEND,22.710009,88.279054,ZONE_005,TRAUMA_OTHER,1,0,0,LOW,1,9.95,9.79,CLEAR,WET,True
INC_000096,2024-12-16T10:40:56.287981,2024-12-16,06:00-12:00,WEEKEND,22.366761,88.561779,ZONE_016,ROAD_ACCIDENT,2,0,0,HIGH,3,24.12,28.38,CLEAR,WET,False
INC_000097,2024-12-16T09:19:38.287981,2024-12-16,06:00-12:00,WEEKEND,22.574383,88.541012,ZONE_007,RESPIRATORY_DISTRESS,1,0,0,MED,2,23.18,23.81,CLEAR,WET,False
INC_000098,2024-12-16T03:29:42.287981,2024-12-16,00:00-06:00,WEEKEND,22.728838,88.454851,ZONE_012,CARDIAC_EMERGENCY,1,0,0,LOW,1,15.7,25.44,RAIN,DRY,True
INC_000099,2024-12-16T12:49:36.287981,2024-12-16,12:00-18:00,WEEKEND,22.724828,88.46193,ZONE_012,ROAD_ACCIDENT,1,0,0,LOW,1,5.37,37.7,CLEAR,DRY,False
INC_000100,2024-12-16T02:51:40.287981,2024-12-16,00:00-06:00,WEEKEND,22.403797,88.373998,ZONE_011,CARDIAC_EMERGENCY,3,0,0,HIGH,3,9.84,31.31,CLEAR,DRY,True
INC_000101,2024-12-15T23:26:58.287981,2024-12-15,18:00-24:00,WEEKEND,22.348919,88.157033,ZONE_001,TRAUMA_OTHER,1,0,0,LOW,1,8.3,38.38,RAIN,DAMAGED,True
INC_000102,2024-12-16T19:32:54.287981,2024-12-16,18:00-24:00,WEEKEND,22.575778,88.390646,ZONE_020,RESPIRATORY_DISTRESS,1,0,0,LOW,1,19.85,34.66,RAIN,DRY,False
INC_000103,2024-12-16T02:05:42.287981,2024-12-16,00:00-06:00,WEEKEND,22.625553,88.331679,ZONE_018,FIRE,2,1,0,CRITICAL,4,8.45,7.98,CLOUDY,DAMAGED,True
INC_000104,2024-12-16T08:03:26.287981,2024-12-16,06:00-12:00,WEEKEND,22.698896,88.280331,ZONE_005,CARDIAC_EMERGENCY,1,0,0,MED,2,12.26,35.75,CLEAR,WET,False
INC_000105,2024-12-15T21:24:51.287981,2024-12-15,18:00-24:00,WEEKEND,22.583705,88.541618,ZONE_007,CARDIAC_EMERGENCY,1,0,0,LOW,1,18.41,23.2,RAIN,WET,True
INC_000106,2024-12-16T05:49:45.287981,2024-12-16,00:00-06:00,WEEKEND,22.396836,88.378778,ZONE_011,RESPIRATORY_DISTRESS,2,1,0,CRITICAL,4,16.03,7.58,RAIN,DRY,True
INC_000107,2024-12-16T00:34:17.287981,2024-12-16,00:00-06:00,WEEKEND,22.625253,88.327806,ZONE_018,TRAUMA_OTHER,1,1,0,CRITICAL,4,24.7,12.13,CLEAR,DRY,True
INC_000108,2024-12-17T17:32:46.287981,2024-12-17,12:00-18:00,WEEKDAY,22.731679,88.303069,ZONE_009,CARDIAC_EMERGENCY,1,1,0,CRITICAL,4,25.83,5.64,CLEAR,DAMAGED,False
INC_000109,2024-12-16T23:42:44.287981,2024-12-16,18:00-24:00,WEEKDAY,22.332405,88.278444,ZONE_014,RESPIRATORY_DISTRESS,1,0,0,MED,2,7.53,28.41,RAIN,DAMAGED,True
INC_000110,2024-12-17T16:27:21.287981,2024-12-17,12:00-18:00,WEEKDAY,22.664627,88.179363,ZONE_004,TRAUMA_OTHER,3,0,0,HIGH,3,22.68,27.14,FOG,DAMAGED,False
INC_000111,2024-12-17T07:25:01.287981,2024-12-17,06:00-12:00,WEEKDAY,22.715429,88.46194,ZONE_012,RESPIRATORY_DISTRESS,1,0,0,MED,2,6.87,35.64,CLEAR,WET,False
INC_000112,2024-12-17T05:26:36.287981,2024-12-17,00:00-06:00,WEEKDAY,22.621235,88.326181,ZONE_018,TRAUMA_OTHER,3,0,0,HIGH,3,18.38,24.26,CLEAR,DRY,True
INC_000113,2024-12-17T16:06:48.287981,2024-12-17,12:00-18:00,WEEKDAY,22.573172,88.395849,ZONE_020,FIRE,1,0,0,MED,2,13.57,38.84,CLOUDY,DAMAGED,False
INC_000114,2024-12-17T01:19:13.287981,2024-12-17,00:00-06:00,WEEKDAY,22.500219,88.135334,ZONE_002,FIRE,1,0,0,LOW,1,17.25,34.35,FOG,WET,True
INC_000115,2024-12-17T01:53:05.287981,2024-12-17,00:00-06:00,WEEKDAY,22.73472,88.29939,ZONE_009,CARDIAC_EMERGENCY,1,0,0,LOW,1,23.3,35.59,RAIN,DAMAGED,True
INC_000116,2024-12-17T11:13:17.287981,2024-12-17,06:00-12:00,WEEKDAY,22.704416,88.291077,ZONE_005,ROAD_ACCIDENT,1,0,0,MED,2,21.89,15.29,RAIN,DRY,False
INC_000117,2024-12-17T13:32:22.287981,2024-12-17,12:00-18:00,WEEKDAY,22.343889,88.252109,ZONE_010,FIRE,1,0,0,MED,2,18.69,9.6,CLEAR,DRY,False
INC_000118,2024-12-17T11:35:57.287981,2024-12-17,06:00-12:00,WEEKDAY,22.396611,88.376798,ZONE_011,RESPIRATORY_DISTRESS,1,0,0,HIGH,3,10.8,26.6,FOG,DRY,False
INC_000119,2024-12-17T12:50:59.287981,2024-12-17,12:00-18:00,WEEKDAY,22.708111,88.559492,ZONE_003,CARDIAC_EMERGENCY,1,0,0,MED,2,24.09,6.96,FOG,WET,False
INC_000120,2024-12-17T05:06:55.287981,2024-12-17,00:00-06:00,WEEKDAY,22.567635,88.528368,ZONE_007,CARDIAC_EMERGENCY,2,1,0,CRITICAL,4,22.05,34.51,RAIN,DAMAGED,True
INC_000121,2024-12-16T23:14:22.287981,2024-12-16,18:00-24:00,WEEKDAY,22.676536,88.468607,ZONE_019,FIRE,1,0,0,LOW,1,16.04,9.3,CLEAR,DAMAGED,True
INC_000122,2024-12-17T16:50:51.287981,2024-12-17,12:00-18:00,WEEKDAY,22.730386,88.463141,ZONE_012,ROAD_ACCIDENT,1,0,0,LOW,1,6.8,21.27,CLEAR,DAMAGED,False
INC_000123,2024-12-17T15:32:04.287981,2024-12-17,12:00-18:00,WEEKDAY,22.349637,88.261628,ZONE_010,RESPIRATORY_DISTRESS,1,0,0,LOW,1,21.9,39.23,RAIN,DRY,False
INC_000124,2024-12-18T10:52:14.287981,2024-12-18,06:00-12:00,WEEKDAY,22.495009,88.136713,ZONE_002,TRAUMA_OTHER,1,0,0,MED,2,15.72,11.07,FOG,DRY,False
INC_000125,2024-12-18T15:05:17.287981,2024-12-18,12:00-18:00,WEEKDAY,22.327546,88.282092,ZONE_014,CARDIAC_EMERGENCY,4,0,0,HIGH,3,19.39,34.3,RAIN,DRY,False
INC_000126,2024-12-18T18:11:27.287981,2024-12-18,18:00-24:00,WEEKDAY,22.779948,88.498472,ZONE_017,ROAD_ACCIDENT,3,1,0,CRITICAL,4,15.57,15.4,CLOUDY,DAMAGED,False
INC_000127,2024-12-18T11:46:40.287981,2024-12-18,06:00-12:00,WEEKDAY,22.64688,88.184044,ZONE_004,TRAUMA_OTHER,4,1,0,CRITICAL,4,12.32,18.35,CLEAR,DAMAGED,False
INC_000128,2024-12-18T10:36:40.287981,2024-12-18,06:00-12:00,WEEKDAY,22.637559,88.198905,ZONE_015,FIRE,1,0,0,LOW,1,15.51,34.03,FOG,DAMAGED,False
INC_000129,2024-12-18T04:13:42.287981,2024-12-18,00:00-06:00,WEEKDAY,22.322343,88.558619,ZONE_006,FIRE,1,0,0,MED,2,5.1,24.58,CLEAR,DRY,True
INC_000130,2024-12-17T21:25:06.287981,2024-12-17,18:00-24:00,WEEKDAY,22.574158,88.535411,ZONE_007,TRAUMA_OTHER,3,1,0,CRITICAL,4,27.05,38.53,CLEAR,DAMAGED,True
